"491525","Union Bible College","Westfield, Indiana"
"150534","University of Evansville","Evansville, Indiana"
"151263","University of Indianapolis","Indianapolis, Indiana"
"152080","University of Notre Dame","Notre Dame, Indiana"
"152336","University of Saint Francis-Fort Wayne","Fort Wayne, Indiana"
"151306","University of Southern Indiana","Evansville, Indiana"
"152600","Valparaiso University","Valparaiso, Indiana"
"482228","Veritas Baptist College","Lawrenceburg, Indiana | Distance learning only"
"152628","Vincennes Beauty College","Vincennes, Indiana"
"152637","Vincennes University","Vincennes, Indiana"
"152673","Wabash College","Crawfordsville, Indiana"
